Normalized.Title,Normalized.Creator,Work.In.Norton,Checkouts
Parable Of The Sower,Octavia E. Butler,False,21652
Lincoln In The Bardo,George Saunders,False,17356
The Fifth Season,N. K. Jemisin,False,17223
The Sympathizer,Viet Thanh Nguyen,False,12792
Kindred,Octavia E. Butler,False,12591
Beloved,Toni Morrison,False,12330
The Left Hand Of Darkness,Ursula K. Le Guin,False,12148
The Absolutely True Diary Of A Part Time Indian,Sherman Alexie,False,12043
The Year Of Magical Thinking,Joan Didion,False,10907
The Sentence,Louise Erdrich,False,10658
The Brief Wondrous Life Of Oscar Wao,Junot Díaz,False,9308
A Wizard Of Earthsea,Ursula K. Le Guin,False,8818
The Night Watchman,Louise Erdrich,False,8715
Infinite Jest,David Foster Wallace,False,8156
The Obelisk Gate,N. K. Jemisin,False,8085
Slaughterhouse Five,Kurt Vonnegut,True,8060
The Lowland,Jhumpa Lahiri,False,7865
Tenth Of December,George Saunders,False,7539
The Fire Next Time,James Baldwin,False,7533
The City We Became,N. K. Jemisin,False,7443
You Dont Have To Say You Love Me,Sherman Alexie,False,7152
The Round House,Louise Erdrich,False,7026
The Bluest Eye,Toni Morrison,False,7015
The Stone Sky,N. K. Jemisin,False,6959
The Man In The High Castle,Philip K. Dick,False,6466
Fledgling,Octavia E. Butler,False,6130
Parable Of The Talents,Octavia E. Butler,False,6110
Her Body and Other Parties,Carmen Maria Machado,False,6003
Do Androids Dream Of Electric Sheep,Philip K. Dick,False,5943
In The Dream House,Carmen Maria Machado,False,5799
Cats Cradle,Kurt Vonnegut,False,5635
No Time To Spare,Ursula K. Le Guin,False,5620
Future Home Of The Living God,Louise Erdrich,False,5610
On The Road,Jack Kerouac,True,5568
The Dispossessed,Ursula K. Le Guin,False,5565
The Hundred Thousand Kingdoms,N. K. Jemisin,False,5367
The Namesake,Jhumpa Lahiri,False,5354
The Bell Jar,Sylvia Plath,False,5317
Invisible Man,Ralph Ellison,True,5279
The Color Purple,Alice Walker,False,4983
Sister Outsider,Audre Lorde,False,4844
The House On Mango Street,Sandra Cisneros,False,4815
Fun Home,Alison Bechdel,True,4614
Unaccustomed Earth,Jhumpa Lahiri,False,4491
Interpreter Of Maladies,Jhumpa Lahiri,False,4483
Devotions,Mary Oliver,False,4244
Giovannis Room,James Baldwin,False,4219
A Swim In A Pond In The Rain,George Saunders,False,4198
Maus,Art Spiegelman,True,4195
Go Tell It On The Mountain,James Baldwin,False,4057
Breakfast Of Champions,Kurt Vonnegut,False,3938
The Lathe Of Heaven,Ursula K. Le Guin,False,3776
Flight,Sherman Alexie,False,3745
If Beale Street Could Talk,James Baldwin,False,3721
Larose,Louise Erdrich,False,3663
The Known World,Edward P. Jones,False,3617
This Is How You Lose Her,Junot Díaz,False,3567
Sula,Toni Morrison,False,3563
White Noise,Don Delillo,True,3552
The Valley Of Amazement,Amy Tan,False,3525
The Plot Against America,Philip Roth,False,3492
Slouching Towards Bethlehem,Joan Didion,False,3483
Blue Nights,Joan Didion,False,3389
The Refugees,Viet Thanh Nguyen,False,3387
Consider The Lobster,David Foster Wallace,False,3356
Dawn,Octavia E. Butler,False,3350
The Joy Luck Club,Amy Tan,True,3333
Song Of Solomon,Toni Morrison,False,3263
How Long Til Black Future Month,N. K. Jemisin,False,3226
The Plague Of Doves,Louise Erdrich,False,3198
The Source Of Self,Toni Morrison,False,3198
Saving Fish From Drowning,Amy Tan,False,3194
Wild Seed,Octavia E. Butler,False,3164
The Things They Carried,Tim O'Brien,False,3139
The Mighty Red,Louise Erdrich,False,3115
Upstream,Mary Oliver,False,3111
Citizen,Claudia Rankine,True,3091
A Mercy,Toni Morrison,False,3068
Notes Of A Native Son,James Baldwin,False,3061
Where The Past Begins,Amy Tan,False,3049
The Secret To Superhuman Strength,Alison Bechdel,False,2988
American Pastoral,Philip Roth,False,2945
The Birchbark House,Louise Erdrich,False,2786
Gravitys Rainbow,Thomas Pynchon,False,2757
The Dharma Bums,Jack Kerouac,False,2733
The Broken Kingdoms,N. K. Jemisin,False,2722
An American Sunrise,Joy Harjo,False,2717
Fear And Loathing In Las Vegas,Hunter S. Thompson,False,2679
In The Time Of The Butterflies,Julia Alvarez,False,2666
God Help The Child,Toni Morrison,False,2552
Roman Stories,Jhumpa Lahiri,False,2525
The Tombs Of Atuan,Ursula K. Le Guin,False,2517
The Bonesetters Daughter,Amy Tan,False,2510
Bloodchild,Octavia E. Butler,True,2471
The Backyard Bird Chronicles,Amy Tan,False,2457
War Dances,Sherman Alexie,False,2427
The Sirens Of Titan,Kurt Vonnegut,False,2351
The Committed,Viet Thanh Nguyen,False,2348
Catwings,Ursula K. Le Guin,False,2314
A Scanner Darkly,Philip K. Dick,False,2313
Another Country,James Baldwin,False,2309
Liliths Brood,Octavia E. Butler,False,2297
The Painted Drum,Louise Erdrich,False,2266
Lavinia,Ursula K. Le Guin,False,2262
This Is Water,David Foster Wallace,False,2261
Home,Toni Morrison,False,2254
A Good Man Is Hard To Find,Flannery O' Connor,True,2228
Ubik,Philip K. Dick,False,2221
Are You My Mother?,Alison Bechdel,False,2183
A Supposedly Fun Thing Ill Never Do Again,David Foster Wallace,False,2183
The Unreal And The Real,Ursula K. Le Guin,False,2157
The Kingdom Of Gods,N. K. Jemisin,False,2151
Pilgrim At Tinker Creek,Annie Dillard,False,2135
Thunder Boy Junior,Sherman Alexie,False,2106
The Killing Moon,N. K. Jemisin,False,2076
Inherent Vice,Thomas Pynchon,False,2076
A Man Without A Country,Kurt Vonnegut,False,2070
Ten Little Indians,Sherman Alexie,False,2047
The White Album,Joan Didion,False,2041
Blasphemy,Sherman Alexie,False,1992
Whereabouts,Jhumpa Lahiri,False,1954
Afterlife,Julia Alvarez,False,1939
Play It As It Lays,Joan Didion,False,1936
How The Garcia Girls Lost Their Accents,Julia Alvarez,False,1925
Blade Runner,Philip K. Dick,False,1846
In Other Words,Jhumpa Lahiri,False,1845
The Pale King,David Foster Wallace,False,1786
What We Talk About When We Talk About Love,Raymond Carver,False,1776
The Living,Annie Dillard,False,1755
Civilwarland In Bad Decline,George Saunders,True,1669
Why I Wake Early,Mary Oliver,False,1663
Claire Of The Sea Light,Edwidge Danticat,False,1654
South And West,Joan Didion,False,1636
Pastoralia,George Saunders,False,1636
The Maytrees,Annie Dillard,False,1634
Ceremony,Leslie Marmon Silko,False,1632
The Woman Warrior,Maxine Hong Kingston,True,1622
Brief Interviews With Hideous Men,David Foster Wallace,False,1617
New And Selected Poems,Mary Oliver,False,1606
Changing Planes,Ursula K. Le Guin,False,1579
Liberation Day,George Saunders,False,1577
A Thousand Mornings,Mary Oliver,False,1574
The Porcupine Year,Louise Erdrich,False,1538
Jazz,Toni Morrison,False,1529
House Made Of Dawn,N. Scott Momaday,False,1528
The Farthest Shore,Ursula K. Le Guin,False,1518
Dog Songs,Mary Oliver,False,1518
The World We Make,N. K. Jemisin,False,1514
Timequake,Kurt Vonnegut,False,1505
Welcome To The Monkey House,Kurt Vonnegut,False,1499
Return To Sender,Julia Alvarez,False,1495
Congratulations By The Way,George Saunders,False,1491
Tehanu,Ursula K. Le Guin,False,1479
The Optimists Daughter,Eudora Welty,False,1473
I Have A Dream,Martin Luther King Jr.,False,1471
Zero K,Don Delillo,False,1465
Islandborn,Junot Díaz,False,1458
Poet Warrior,Joy Harjo,False,1439
Flow My Tears The Policeman Said,Philip K. Dick,False,1436
Big Sur,Jack Kerouac,False,1430
Rabbit Run,John Updike,False,1406
Wise Blood,Flannery O' Connor,False,1406
The Kitchen Gods Wife,Amy Tan,False,1398
The Minority Report,Philip K. Dick,False,1394
The Word For World Is Forest,Ursula K. Le Guin,False,1380
Let Me Tell You What I Mean,Joan Didion,False,1378
Adulthood Rites,Octavia E. Butler,False,1369
The Crucible,Arthur Miller,False,1367
Shadow Tag,Louise Erdrich,False,1363
Water Water,Billy Collins,False,1358
Memorial Drive,Natasha Trethewey,False,1346
Player Piano,Kurt Vonnegut,False,1346
The Master Butchers Singing Club,Louise Erdrich,False,1343
Gifts,Ursula K. Le Guin,False,1336
A Man Of Two Faces,Viet Thanh Nguyen,False,1334
The Crying Of Lot 49,Thomas Pynchon,False,1331
Bleeding Edge,Thomas Pynchon,False,1324
The Hundred Secret Senses,Amy Tan,False,1322
Love,Toni Morrison,False,1304
Aimless Love,Billy Collins,False,1303
Oblivion,David Foster Wallace,False,1302
Seed To Harvest,Octavia E. Butler,False,1293
The Game Of Silence,Louise Erdrich,False,1286
Jane On Her Own,Ursula K. Le Guin,False,1279
The Essential Dykes To Watch Out For,Alison Bechdel,False,1277
The Last Report On The Miracles At Little No Horse,Louise Erdrich,False,1272
Everyman,Philip Roth,False,1272
The Complete Stories,Flannery O' Connor,False,1245
Before We Were Free,Julia Alvarez,False,1243
Portnoys Complaint,Philip Roth,False,1235
Maus Ii,Art Spiegelman,False,1216
Paradise,Toni Morrison,False,1214
Mind Of My Mind,Octavia E. Butler,False,1209
Cathedral,Raymond Carver,True,1206
Felicity,Mary Oliver,False,1205
The Three Stigmata Of Palmer Eldritch,Philip K. Dick,False,1199
The Broom Of The System,David Foster Wallace,False,1195
The Adventures Of Augie March,Saul Bellow,True,1191
Just Us,Claudia Rankine,False,1173
A Burst Of Light,Audre Lorde,False,1169
Four Souls,Louise Erdrich,False,1165
Everything That Rises Must Converge,Flannery O' Connor,False,1163
Tar Baby,Toni Morrison,False,1161
Love Medicine,Louise Erdrich,False,1144
The Opposite Of Fate,Amy Tan,False,1136
A Raisin In The Sun,Lorraine Hansberry,True,1130
Goodbye Columbus,Philip Roth,False,1121
The Rum Diary,Hunter S. Thompson,False,1119
Recitatif,Toni Morrison,False,1113
Falling Man,Don Delillo,False,1112
Hells Angels,Hunter S. Thompson,False,1105
While Mortals Sleep,Kurt Vonnegut,False,1096
Imago,Octavia E. Butler,False,1086
Indignation,Philip Roth,False,1085
Underworld,Don Delillo,False,1069
Breath Eyes Memory,Edwidge Danticat,False,1067
Tales From Earthsea,Ursula K. Le Guin,False,1065
Where I'M Calling From,Raymond Carver,False,1052
Bluebeard,Kurt Vonnegut,False,1048
Sailing Alone Around The Room,Billy Collins,False,1044
Reservation Blues,Sherman Alexie,False,1030
In Persuasion Nation,George Saunders,False,1022
Teaching A Stone To Talk,Annie Dillard,False,1017
Girl With Curious Hair,David Foster Wallace,False,1015
The Writing Life,Annie Dillard,False,1012
Galapagos,Kurt Vonnegut,False,1007
Faithful And Virtuous Night,Louise Glück,False,996
The Other Wind,Ursula K. Le Guin,False,991
Words Are My Matter,Ursula K. Le Guin,False,987
The Shadowed Sun,N. K. Jemisin,False,981
Herzog,Saul Bellow,False,981
Selected Stories Of Philip K,Philip K. Dick,False,968
Unexpected Stories,Octavia E. Butler,False,965
The Human Stain,Philip Roth,False,959
Jack And The Box,Art Spiegelman,False,958
Going To Meet The Man,James Baldwin,True,946
Annie John,Jamaica Kincaid,False,944
Where I Was From,Joan Didion,False,926
Look At The Birdie,Kurt Vonnegut,False,921
Indian Killer,Sherman Alexie,False,913
Blue Horses,Mary Oliver,False,909
