Normalized.Creator,date,total
Amy Tan,2005-04-01T08:00Z,17
Amy Tan,2005-05-01T07:00Z,41
Amy Tan,2005-06-01T07:00Z,48
Amy Tan,2005-07-01T07:00Z,20
Amy Tan,2005-08-01T07:00Z,36
Amy Tan,2005-09-01T07:00Z,32
Amy Tan,2005-10-01T07:00Z,35
Amy Tan,2005-11-01T08:00Z,106
Amy Tan,2005-12-01T08:00Z,118
Amy Tan,2006-01-01T08:00Z,112
Amy Tan,2006-02-01T08:00Z,133
Amy Tan,2006-03-01T08:00Z,143
Amy Tan,2006-04-01T08:00Z,115
Amy Tan,2006-05-01T07:00Z,112
Amy Tan,2006-06-01T07:00Z,95
Amy Tan,2006-07-01T07:00Z,100
Amy Tan,2006-08-01T07:00Z,89
Amy Tan,2006-09-01T07:00Z,103
Amy Tan,2006-10-01T07:00Z,81
Amy Tan,2006-11-01T08:00Z,95
Amy Tan,2006-12-01T08:00Z,77
Amy Tan,2007-01-01T08:00Z,87
Amy Tan,2007-02-01T08:00Z,78
Amy Tan,2007-03-01T08:00Z,84
Amy Tan,2007-04-01T07:00Z,63
Amy Tan,2007-05-01T07:00Z,72
Amy Tan,2007-06-01T07:00Z,83
Amy Tan,2007-07-01T07:00Z,72
Amy Tan,2007-08-01T07:00Z,65
Amy Tan,2007-09-01T07:00Z,63
Amy Tan,2007-10-01T07:00Z,52
Amy Tan,2007-11-01T07:00Z,59
Amy Tan,2007-12-01T08:00Z,49
Amy Tan,2008-01-01T08:00Z,66
Amy Tan,2008-02-01T08:00Z,49
Amy Tan,2008-03-01T08:00Z,60
Amy Tan,2008-04-01T07:00Z,44
Amy Tan,2008-05-01T07:00Z,44
Amy Tan,2008-06-01T07:00Z,55
Amy Tan,2008-07-01T07:00Z,47
Amy Tan,2008-08-01T07:00Z,67
Amy Tan,2008-09-01T07:00Z,50
Amy Tan,2008-10-01T07:00Z,49
Amy Tan,2008-11-01T07:00Z,43
Amy Tan,2008-12-01T08:00Z,46
Amy Tan,2009-01-01T08:00Z,51
Amy Tan,2009-02-01T08:00Z,52
Amy Tan,2009-03-01T08:00Z,56
Amy Tan,2009-04-01T07:00Z,51
Amy Tan,2009-05-01T07:00Z,49
Amy Tan,2009-06-01T07:00Z,39
Amy Tan,2009-07-01T07:00Z,55
Amy Tan,2009-08-01T07:00Z,58
Amy Tan,2009-09-01T07:00Z,36
Amy Tan,2009-10-01T07:00Z,38
Amy Tan,2009-11-01T07:00Z,35
Amy Tan,2009-12-01T08:00Z,45
Amy Tan,2010-01-01T08:00Z,30
Amy Tan,2010-02-01T08:00Z,30
Amy Tan,2010-03-01T08:00Z,36
Amy Tan,2010-04-01T07:00Z,30
Amy Tan,2010-05-01T07:00Z,46
Amy Tan,2010-06-01T07:00Z,33
Amy Tan,2010-07-01T07:00Z,43
Amy Tan,2010-08-01T07:00Z,45
Amy Tan,2010-09-01T07:00Z,29
Amy Tan,2010-10-01T07:00Z,34
Amy Tan,2010-11-01T07:00Z,36
Amy Tan,2010-12-01T08:00Z,28
Amy Tan,2011-01-01T08:00Z,27
Amy Tan,2011-02-01T08:00Z,46
Amy Tan,2011-03-01T08:00Z,37
Amy Tan,2011-04-01T07:00Z,39
Amy Tan,2011-05-01T07:00Z,37
Amy Tan,2011-06-01T07:00Z,32
Amy Tan,2011-07-01T07:00Z,55
Amy Tan,2011-08-01T07:00Z,47
Amy Tan,2011-09-01T07:00Z,55
Amy Tan,2011-10-01T07:00Z,69
Amy Tan,2011-11-01T07:00Z,62
Amy Tan,2011-12-01T08:00Z,52
Amy Tan,2012-01-01T08:00Z,57
Amy Tan,2012-02-01T08:00Z,57
Amy Tan,2012-03-01T08:00Z,59
Amy Tan,2012-04-01T07:00Z,53
Amy Tan,2012-05-01T07:00Z,59
Amy Tan,2012-06-01T07:00Z,64
Amy Tan,2012-07-01T07:00Z,61
Amy Tan,2012-08-01T07:00Z,48
Amy Tan,2012-09-01T07:00Z,42
Amy Tan,2012-10-01T07:00Z,55
Amy Tan,2012-11-01T07:00Z,46
Amy Tan,2012-12-01T08:00Z,52
Amy Tan,2013-01-01T08:00Z,41
Amy Tan,2013-02-01T08:00Z,53
Amy Tan,2013-03-01T08:00Z,40
Amy Tan,2013-04-01T07:00Z,31
Amy Tan,2013-05-01T07:00Z,40
Amy Tan,2013-06-01T07:00Z,66
Amy Tan,2013-07-01T07:00Z,52
Amy Tan,2013-08-01T07:00Z,57
Amy Tan,2013-09-01T07:00Z,63
Amy Tan,2013-10-01T07:00Z,52
Amy Tan,2013-11-01T07:00Z,172
Amy Tan,2013-12-01T08:00Z,254
Amy Tan,2014-01-01T08:00Z,298
Amy Tan,2014-02-01T08:00Z,269
Amy Tan,2014-03-01T08:00Z,276
Amy Tan,2014-04-01T07:00Z,256
Amy Tan,2014-05-01T07:00Z,233
Amy Tan,2014-06-01T07:00Z,210
Amy Tan,2014-07-01T07:00Z,184
Amy Tan,2014-08-01T07:00Z,210
Amy Tan,2014-09-01T07:00Z,170
Amy Tan,2014-10-01T07:00Z,128
Amy Tan,2014-11-01T07:00Z,115
Amy Tan,2014-12-01T08:00Z,123
Amy Tan,2015-01-01T08:00Z,124
Amy Tan,2015-02-01T08:00Z,97
Amy Tan,2015-03-01T08:00Z,115
Amy Tan,2015-04-01T07:00Z,97
Amy Tan,2015-05-01T07:00Z,94
Amy Tan,2015-06-01T07:00Z,95
Amy Tan,2015-07-01T07:00Z,94
Amy Tan,2015-08-01T07:00Z,97
Amy Tan,2015-09-01T07:00Z,96
Amy Tan,2015-10-01T07:00Z,89
Amy Tan,2015-11-01T07:00Z,78
Amy Tan,2015-12-01T08:00Z,66
Amy Tan,2016-01-01T08:00Z,66
Amy Tan,2016-02-01T08:00Z,56
Amy Tan,2016-03-01T08:00Z,77
Amy Tan,2016-04-01T07:00Z,71
Amy Tan,2016-05-01T07:00Z,68
Amy Tan,2016-06-01T07:00Z,53
Amy Tan,2016-07-01T07:00Z,68
Amy Tan,2016-08-01T07:00Z,70
Amy Tan,2016-09-01T07:00Z,62
Amy Tan,2016-10-01T07:00Z,56
Amy Tan,2016-11-01T07:00Z,58
Amy Tan,2016-12-01T08:00Z,50
Amy Tan,2017-01-01T08:00Z,52
Amy Tan,2017-02-01T08:00Z,51
Amy Tan,2017-03-01T08:00Z,68
Amy Tan,2017-04-01T07:00Z,54
Amy Tan,2017-05-01T07:00Z,72
Amy Tan,2017-06-01T07:00Z,65
Amy Tan,2017-07-01T07:00Z,89
Amy Tan,2017-08-01T07:00Z,82
Amy Tan,2017-09-01T07:00Z,66
Amy Tan,2017-10-01T07:00Z,307
Amy Tan,2017-11-01T07:00Z,679
Amy Tan,2017-12-01T08:00Z,616
Amy Tan,2018-01-01T08:00Z,371
Amy Tan,2018-02-01T08:00Z,141
Amy Tan,2018-03-01T08:00Z,136
Amy Tan,2018-04-01T07:00Z,115
Amy Tan,2018-05-01T07:00Z,108
Amy Tan,2018-06-01T07:00Z,108
Amy Tan,2018-07-01T07:00Z,105
Amy Tan,2018-08-01T07:00Z,96
Amy Tan,2018-09-01T07:00Z,97
Amy Tan,2018-10-01T07:00Z,82
Amy Tan,2018-11-01T07:00Z,74
Amy Tan,2018-12-01T08:00Z,78
Amy Tan,2019-01-01T08:00Z,100
Amy Tan,2019-02-01T08:00Z,75
Amy Tan,2019-03-01T08:00Z,89
Amy Tan,2019-04-01T07:00Z,93
Amy Tan,2019-05-01T07:00Z,79
Amy Tan,2019-06-01T07:00Z,73
Amy Tan,2019-07-01T07:00Z,90
Amy Tan,2019-08-01T07:00Z,66
Amy Tan,2019-09-01T07:00Z,70
Amy Tan,2019-10-01T07:00Z,53
Amy Tan,2019-11-01T07:00Z,74
