,UsageClass,CheckoutOutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear,ISBN,Normalized.Creator,Normalized.Title,BirthYear,DeathYear,Work.In.Norton,CheckoutDate
8084,Digital,OverDrive,AUDIOBOOK,2016,10,2,American Classics (Unabridged),Amy Tan,"Fiction, Short Stories","Symphony Space, Inc",2010.0,,Amy Tan,American Classics,1952,,False,2016-10-01T07:00Z
8085,Digital,OverDrive,AUDIOBOOK,2016,10,2,The Chinese Siamese Cat (Unabridged),Amy Tan,"Historical Fiction, Juvenile Fiction","Phoenix Books, Inc.",2008.0,,Amy Tan,The Chinese Siamese Cat,1952,,False,2016-10-01T07:00Z
8086,Digital,OverDrive,EBOOK,2016,10,8,The Valley of Amazement,Amy Tan,"Fiction, Historical Fiction, Literature",HarperCollins Publishers Inc.,2013.0,,Amy Tan,The Valley Of Amazement,1952,,False,2016-10-01T07:00Z
8087,Digital,OverDrive,EBOOK,2016,10,4,Saving Fish from Drowning,Amy Tan,"Fiction, Literature","Penguin Group (USA), Inc.",2011.0,,Amy Tan,Saving Fish From Drowning,1952,,False,2016-10-01T07:00Z
8088,Digital,OverDrive,AUDIOBOOK,2016,10,2,The Bonesetter's Daughter (Unabridged),Amy Tan,"Drama, Fiction","Phoenix Books, Inc.",2008.0,,Amy Tan,The Bonesetters Daughter,1952,,False,2016-10-01T07:00Z
8089,Digital,OverDrive,EBOOK,2016,10,3,The Bonesetter's Daughter,Amy Tan,"Fiction, Literature","Penguin Group (USA), Inc.",2011.0,,Amy Tan,The Bonesetters Daughter,1952,,False,2016-10-01T07:00Z
8090,Digital,OverDrive,EBOOK,2016,10,1,The Opposite of Fate: Memories of a Writing Life,Amy Tan,"Biography & Autobiography, Nonfiction","Penguin Group (USA), Inc.",2013.0,,Amy Tan,The Opposite Of Fate,1952,,False,2016-10-01T07:00Z
8091,Digital,OverDrive,EBOOK,2016,10,3,The Hundred Secret Senses: A Novel,Amy Tan,"Fiction, Literature","Penguin Group (USA), Inc.",2011.0,,Amy Tan,The Hundred Secret Senses,1952,,False,2016-10-01T07:00Z
8092,Digital,OverDrive,AUDIOBOOK,2016,10,1,The Moon Lady (Unabridged),Amy Tan,"Juvenile Fiction, Juvenile Literature, Picture Book Fiction","Phoenix Books, Inc.",2015.0,,Amy Tan,The Moon Lady,1952,,False,2016-10-01T07:00Z
8093,Digital,OverDrive,EBOOK,2016,11,1,The Kitchen God's Wife,Amy Tan,"Fiction, Literature, Romance","Penguin Group (USA), Inc.",2011.0,,Amy Tan,The Kitchen Gods Wife,1952,,False,2016-11-01T07:00Z
8094,Digital,OverDrive,EBOOK,2016,11,1,The Opposite of Fate: Memories of a Writing Life,Amy Tan,"Biography & Autobiography, Nonfiction","Penguin Group (USA), Inc.",2013.0,,Amy Tan,The Opposite Of Fate,1952,,False,2016-11-01T07:00Z
8095,Digital,OverDrive,EBOOK,2016,11,3,The Joy Luck Club,Amy Tan,"Fiction, Literature","Penguin Group (USA), Inc.",2014.0,,Amy Tan,The Joy Luck Club,1952,,True,2016-11-01T07:00Z
8096,Digital,OverDrive,EBOOK,2016,11,3,The Joy Luck Club,Amy Tan,Fiction,RosettaBooks,2005.0,,Amy Tan,The Joy Luck Club,1952,,True,2016-11-01T07:00Z
8097,Digital,OverDrive,EBOOK,2016,11,3,Saving Fish from Drowning,Amy Tan,"Fiction, Literature","Penguin Group (USA), Inc.",2011.0,,Amy Tan,Saving Fish From Drowning,1952,,False,2016-11-01T07:00Z
8098,Digital,OverDrive,AUDIOBOOK,2016,11,3,American Classics (Unabridged),Amy Tan,"Fiction, Short Stories","Symphony Space, Inc",2010.0,,Amy Tan,American Classics,1952,,False,2016-11-01T07:00Z
8099,Digital,OverDrive,EBOOK,2016,11,2,The Hundred Secret Senses: A Novel,Amy Tan,"Fiction, Literature","Penguin Group (USA), Inc.",2011.0,,Amy Tan,The Hundred Secret Senses,1952,,False,2016-11-01T07:00Z
8100,Digital,OverDrive,AUDIOBOOK,2016,11,2,The Moon Lady (Unabridged),Amy Tan,"Juvenile Fiction, Juvenile Literature, Picture Book Fiction","Phoenix Books, Inc.",2015.0,,Amy Tan,The Moon Lady,1952,,False,2016-11-01T07:00Z
